"","taxon","sample","depth","diversity_measure","value","lon","lat"
"445","sponges","5q13",5,"abundance",0,NA,NA
"446","sponges","5q13",5,"richness",0,NA,NA
"447","sponges","5q13",5,"sigma",NA,NA,NA
"448","sponges","5q14",5,"abundance",1,NA,NA
"449","sponges","5q14",5,"richness",1,NA,NA
"450","sponges","5q14",5,"sigma",0.0896093888935205,NA,NA
"451","sponges","5q15",5,"abundance",1,NA,NA
"452","sponges","5q15",5,"richness",1,NA,NA
"453","sponges","5q15",5,"sigma",0.0896093888935205,NA,NA
"454","sponges","5q16",5,"abundance",0,NA,NA
"455","sponges","5q16",5,"richness",0,NA,NA
"456","sponges","5q16",5,"sigma",NA,NA,NA
"457","sponges","5q17",5,"abundance",0,NA,NA
"458","sponges","5q17",5,"richness",0,NA,NA
"459","sponges","5q17",5,"sigma",NA,NA,NA
"460","sponges","5q18",5,"abundance",0,NA,NA
"461","sponges","5q18",5,"richness",0,NA,NA
"462","sponges","5q18",5,"sigma",NA,NA,NA
"463","sponges","5q19",5,"abundance",1,NA,NA
"464","sponges","5q19",5,"richness",1,NA,NA
"465","sponges","5q19",5,"sigma",0.0896093888935205,NA,NA
"466","sponges","5q2",5,"abundance",0,NA,NA
"467","sponges","5q2",5,"richness",0,NA,NA
"468","sponges","5q2",5,"sigma",NA,NA,NA
"469","sponges","5q20",5,"abundance",1,NA,NA
"470","sponges","5q20",5,"richness",1,NA,NA
"471","sponges","5q20",5,"sigma",0.0896093888935205,NA,NA
"472","sponges","5q21",5,"abundance",2,NA,NA
"473","sponges","5q21",5,"richness",2,NA,NA
"474","sponges","5q21",5,"sigma",0.107545684837639,NA,NA
"475","sponges","5q22",5,"abundance",1,NA,NA
"476","sponges","5q22",5,"richness",1,NA,NA
"477","sponges","5q22",5,"sigma",0.0896093888935205,NA,NA
"478","sponges","5q23",5,"abundance",1,NA,NA
"479","sponges","5q23",5,"richness",1,NA,NA
"480","sponges","5q23",5,"sigma",0.0896093888935205,NA,NA
"481","sponges","5q26",5,"abundance",0,NA,NA
"482","sponges","5q26",5,"richness",0,NA,NA
"483","sponges","5q26",5,"sigma",NA,NA,NA
"484","sponges","5q27",5,"abundance",1,NA,NA
"485","sponges","5q27",5,"richness",1,NA,NA
"486","sponges","5q27",5,"sigma",0.0896093888935205,NA,NA
"487","sponges","5q28",5,"abundance",1,NA,NA
"488","sponges","5q28",5,"richness",1,NA,NA
