Name,Site,Depth,Habitat,Orientation,Coral,Sponge,Other,Algae,Substrate
IMG_6447qua_5.26.jpg,IUI,5,Shallow,HOR,25,1,0,8,66
IMG_6457qua_5.27.jpg,IUI,5,Shallow,VER,32,1,2,9,56
IMG_6471qua_5.28.jpg,IUI,5,Shallow,VER,24,9,2,21,44
IMG_7169qua_20.21.jpg,IUI,20,Shallow,VER,52,0,0,7,41
IMG_7178qua_20.22.jpg,IUI,20,Shallow,HOR,11,19,0,2,68
IMG_7183qua_20.23.jpg,IUI,20,Shallow,HOR,49,1,1,7,42
IMG_7189qua_20.24.jpg,IUI,20,Shallow,HOR,14,0,2,3,81
IMG_7195qua_20.25.jpg,IUI,20,Shallow,HOR,45,0,0,3,52
IMG_7200qua_20.26.JPG,IUI,20,Shallow,VER,27,5,10,16,42
IMG_7213qua_20.27.JPG,IUI,20,Shallow,HOR,5,2,0,17,76
IMG_7217qua_20.30.jpg,IUI,20,Shallow,HOR,43,0,0,10,47
IMG_7221qua_20.31.JPG,IUI,20,Shallow,HOR,37,0,3,20,40
